,0
0,Snap25
1,mt_AK131579
2,Ubb
3,Calm2
4,Hspa8
5,mt_AF378830
6,Aldoa
7,Malat1
8,Mir690
9,Mdh1
10,Gapdh
11,Ppia
12,Stmn1
13,mt_AK165865
14,Actb
15,Ldhb
16,mt_AK131578
17,mt_AK165190
18,mt_AK162500
19,mt_GU332589
20,mt_AK141702
21,Slc25a4
22,Atp6v0c-ps2
23,Snrpn
24,Vsnl1
25,mt_AK140265
26,Ndufa4
27,mt_BC012020
28,Vip
29,Tspan7
30,mt_AK131866
31,Slc25a5
32,mt_BC004586
33,Calm1
34,Ubc
35,Gnb1
36,Gpm6a
37,Hsp90ab1
38,Snhg11
39,Ckb
40,mt_AK142700
41,Usmg5
42,c17_SSU-rRNA_Hsa
43,Tuba1a
44,Actg1
45,Ywhaz
46,Mdh2
47,mt_AK131577
48,mt_AK132015
49,mt_AK132098
50,mt_AK167037
51,Cox4i1
52,Eif4a2
53,Dpysl2
54,Ap2m1
55,Tecr
56,Eif1
57,Pkm2
58,Tmsb4x
59,Ywhae
60,mt_X57779
61,mt_X57780
62,2900097C17Rik
63,Cox6c
64,Uqcrb
65,Ndrg3
66,Atp6v1g2
67,Map1lc3b
68,Chn1
69,mt_AK138996
70,mt_AK163440
71,mt_AK142736
72,Ndrg4
73,Serinc1
74,Brp44l
75,mt_BC008260
76,mt_BC020072
77,Cox7c
78,Cox6b1
79,H2afz
80,Atp5o
81,Ywhah
82,Ndufb8
83,Rgs4
84,Rpl41
85,Atp6v0c
86,Sepw1
87,Eno1
88,Atp6v0b
89,Atp5h
90,Myl12b
91,Atp5c1
92,Atp5f1
93,Uqcr11
94,Cbx3
95,Bc1
96,Fth1
97,Skp1a
98,Sparcl1
99,Got1
100,mt_AK159262
101,Tpi1
102,Atp6v1e1
103,Rpl3
104,Atpif1
105,Atp5l
106,Uqcrq
107,Snca
108,Ndufa3
109,Sumo2
110,Ndufb9
111,Hnrnpk
112,Atp5j
113,Sept7
114,Atp5g1
115,Pgk1
116,Rtn1
117,Hmgb1
118,Enc1
119,Cnr1
120,Uqcrh
121,Hsp90aa1
122,Ndufb10
123,Tubb4a
124,A130077B15Rik
125,Schip1
126,Atp6v1d
127,Atp5g3
128,Cycs
129,Tagln3
130,Tmx2
131,Atp5a1
132,Prdx2
133,Cox6a1
134,Morf4l1
135,Pcnp
136,Gdi1
137,Mgst3
138,Mif
139,Cnbp
140,Uqcr10
141,2010107E04Rik
142,Id2
143,Rps14
144,H3f3b
145,Serpini1
146,Snap47
147,Scg5
148,Nme1
149,Selk
150,Atp6v0e2
151,Otub1
152,Cdc42
153,Sdhb
154,Fkbp3
155,Hsbp1
156,Atp6v1f
157,Atp5k
158,Oaz1
159,Stmn3
160,mt_BC020382
161,Tpt1
162,Idh3a
163,Ndufs7
164,Dynlrb1
165,Nrn1
166,Sumo1
167,Cfl1
168,Rpl4
169,Ensa
170,Nrxn1
171,Csde1
172,Rpl9
173,Ndufa5
174,Ghitm
175,Atp6ap2
176,Ldha
177,Cox7a2
178,Fez1
179,mt_AK139029
180,Ndufa12
181,Rpl19
182,Gm14295
183,Vdac3
184,Ptges3
185,Gabrg2
186,Atp5b
187,Cpe
188,Atp5j2
189,Eef1a1
190,Uba52
191,Ndufa6
192,Ndufb4
193,Atp6v1c1
194,Hprt
195,Napa
196,Rps18
197,Hint1
198,Ndufa1
199,AI593442
200,Myl6
201,Tceb2
202,Park7
203,Ndufb5
204,Capza2
205,mt_AK144853
206,Pak1
207,Oaz1-ps
208,Vdac2
209,Mef2c
210,Gabarapl2
211,Zcchc18
212,Arf1
213,Nhp2l1
214,mt_AK131588
215,Ppp2r1a
216,Cox7b
217,Set
218,Psmc5
219,Mllt11
220,Ndufv2
221,Hnrnpa2b1
222,Tubb2a
223,Vps29
224,Acot7
225,mt_AJ409495
226,6720456B07Rik
227,Cox8a
228,Actr2
229,Arpp21
230,Ccdc56
231,Ncald
232,Rab3a
233,Gpx4
234,Uqcrc1
235,Fam81a
236,mt_AK142751
237,Gria2
238,Lrrc17
239,Psma3
240,Rpl7
241,Akr1a1
242,Uqcrc2
243,Scn2b
244,Tuba4a
245,Morf4l2
246,Nrsn1
247,Psma7
248,Pomp
249,Fabp3
250,Pdhb
251,Lrrc4c
252,Ppp3ca
253,Gabra1
254,Prdx5
255,Rpl35
256,Asns
257,Gm5506
258,Hpca
259,Ccl27a
260,Psmb3
261,Bnip3
262,Ndufa9
263,Rpl32
264,Ndufa7
265,Sdha
266,Idh3b
267,Rpl38
268,Atp1b1
269,Ndufc1
270,Atp6v1a
271,Pld3
272,Osbpl1a
273,mt_AK162543
274,Ccdc72
275,Gpm6b
276,Psma5
277,Nars
278,Arpp19
279,BC031181
280,Atp2b2
281,Ndufc2
282,Tac2
283,Atp5e
284,Chgb
285,Cct7
286,A630089N07Rik
287,mt_AK142750
288,Tubb3
289,Npm1
290,Ndufb6
291,Impact
292,Grcc10
293,Rps29
294,Psmb1
295,Atp6v1g1
296,Ube2v1
297,Matr3
298,Gnas
299,Atp6ap1
300,Golga7b
301,Mrpl42
302,Timm17a
303,Prkar1a
304,Ndufa8
305,Ndufs6
306,mt_AK153874
307,Rps11
308,Sdcbp
309,Gstp1
310,Psmb6
311,Psmc1
312,Timm23
313,Ubl3
314,Nptn
315,Nedd8
316,Sub1
317,Rpl29
318,Mrfap1
319,Srsf5
320,Churc1
321,Sod1
322,Idh3g
323,Cox5b
